알약 이름,복용 적절 시간,복용 방법,성분,효능
비나폴로엑스트라연질캡슐(비타민A),상시,1일 1회 2정,"레티놀팔미테이트로서1,375mg",안구건조증완화
프리미엄 리포좀 비타민C,상시,1일 1회 1정,아스코브르산 500mg,면역력 강화
임팩타민 프리미엄 정,상시,1일 1회 1정,"벤포티아민(비타민B1)(KP),리보플라빈(비타민B2)(KP) 50mg","신경통,근육통, 관절통(요통, 어깨결림 등), 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염"
유한 칼슘마그네슘D,상시,1일 2회 2정,"칼슘 650mg,",뼈 건강
뉴티365 오라컷,상시,1일 1회 1정,산화 아연 400mg,세포기능 면역기능 강화
임팩타민 원스 정,상시,1일 1회 1정,"비타민D,E,B1,B2,B6,C","뼈,이의발육불량,구루병의예방"
유한m초임계알티지오메가3 미니,상시,1일 1회 1정,EPA와 DHA 600mg,혈액기능개선
올바른 와이케어 프로바이오틱스VL8 아연 셀레늄,상시,1일 1회 1캡슐,Lactiplantibacillus plantarum 1억CFU 300mg,장 건강 도움
실리마린 밀크씨슬 비타민B군 컴플렉스,상시,1일 1회 1정,비타민B6 500mg,단백질 합성 기능 향상
이너랩 듀얼액트 멀티비타민 알티지 오메가3,상시,1일 1회 1캡슐,"비타민 A, B1, B2, B3, ",혈중 중성지질 개선 • 혈행개선
관절 연골엔 MSM 비타민D ,상시,1일 1회 2정,MSM 1500mg,관절 및 연골 건강에 도움
익스트림 비타민B 컴플렉스 700mg,상시,1일1회 1정,"판토텐산칼슘, 비타민B1질산염, 비타민B6염산염, 니코틴산아미드, 비타민B2, 비오틴(비오틴, 제이인산칼슘), 산화아연, 엽산, 비타민B12, 결정셀룰로스","에너지생성,정상적인면역기능"
뽀롱뽀롱뽀로로 비타민C,상시,1일 5회 2정,비타민C 360mg,활력등에도움
알티지 오메가3 1000,상시,1일 1회 2캡슐,"ERA 및 DHA 함유유지[정제어 유, 0-토코페롤(혼합형), 로즈미리추출물/프랑스 산] 0-C-토코페롤(C.C-토코페롤, 대두유), 레몬 향오일 ※ 캡슐기제:변성전분, 글리세린, 카라기난",혈중 중성지질 개선
내눈엔 루테인+ 내몸엔 멀티비타민 미네랄+,상시,1일 1회 1캡슐,루테인 20mg,기억력 개선에 도움을 줄 수 있음
활력충전 멀티비타민 포 우먼,상시,1일 1회 1정,비타민C 200mg,건조한 눈을 개선하여 눈건강에 도움을 줄 수 있음
유한m칼슘마그네슘비타민D아연,상시,1일 1회 1정,칼슘 300mg,뼈와 치아 형성에 필요
센트룸 포맨 50정,상시,1일 1회 1정,크롬 35μg,"체내 탄수화물, 지방, 단백질 대사에 관여"
본케어 비타민DK 2 플러스,상시,1일 1회 1정,비타민K 21μg,"정상적인 혈액응고에 필요, 뼈의 구성에 필요"
